PLAYER,g_cls_1,g_cls_2,g_cls_3,g_cls_4,w_cls_1,w_cls_2,w_cls_3,w_cls_4,f_cls_1,f_cls_2,f_cls_3,f_cls_4,b_cls_1,b_cls_2,b_cls_3
Nickeil Alexander-Walker,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grayson Allen,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Anthony,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LaMelo Ball,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lonzo Ball,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desmond Bane,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Barton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradley Beal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Malik Beasley,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Beverley,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Bledsoe,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bogdan Bogdanovic,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Devin Booker,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Avery Bradley,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Malcolm Brogdon,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Brunson,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alec Burks,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kentavious Caldwell-Pope,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Caruso,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Clarkson,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mike Conley,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pat Connaughton,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cade Cunningham,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Seth Curry,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Curry,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hamidou Diallo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spencer Dinwiddie,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Luguentz Dort,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayo Dosunmu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Duarte,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Edwards,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bryn Forbes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
De'Aaron Fox,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Darius Garland,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Josh Giddey,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shai Gilgeous-Alexander,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Eric Gordon,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Devonte' Graham,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Green,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Green,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
