PLAYER,H,POS,TEAM,GP,MIN,POSS,%FGA,%3PA,%FTA,%REB,%AST,%BLKA,%PFD,%PTS,PassesMade/POSS,PassesReceived/POSS,ScreenAssists/POSS,ASTAdj/POSS,TOV/POSS,PTS/POSS,2P%,3P%,FT%,%PTSFT,%RA_FGA,%PT_nonRA_FGA,%MR_FGA,%cns_2FGA,%pullup_2FGA,%Corner3_FGA,%ATB3_FGA,%cns_3PA,%pullup_3PA,2FGM%UAST,3FGM%UAST,%dr_1_2_fga,%dr_3plus_fga,%tch_0_2_fga,%tch_2plus_fga,%trsn_FGA,%iso_FGA,%pnrbh_FGA,%pnrrm_FGA,%postup_FGA,%spotup_FGA,%handoff_FGA,%cuts_FGA,%offscrn_FGA,%putbk_FGA,DRIVES/POSS,drives_PASS%,Avg Sec PerTouch,Avg Drib PerTouch,ElbowTouches/POSS,PostUps/POSS,PaintTouches/POSS,PTS PerElbow Touch,PTS PerPost Touch,PTS PerPaint Touch,Dist. Miles Off/POSS,Dist. Miles Def/POSS,REB/MIN,ContestedREB%,AVG REBDistance,Box Outs/MIN,STL/MIN,BLK/MIN,Deflections/MIN,Loose BallsRecovered/MIN,ChargesDrawn/MIN,Contested2PT Shots/MIN,Contested3PT Shots/MIN,OppTOV/MIN,OppPF/MIN,OppFTA/MIN,Opp2P%,%opp_RA_FGA,opp_RA_FG%,%opp_PT_nonRA_FGA,opp_PT_nonRA_FG%,%opp_MR_FGA,opp_MR_FG%,Opp3P%,%opp_Corner3_FGA,opp_Corner3_FG%,%opp_ATB3_FGA,opp_ATB3_FG%,%opp_iso_FGA,opp_iso_FG%,%opp_pnrbh_FGA,opp_pnrbh_FG%,%opp_pnrrm_FGA,opp_pnrrm_FG%,%opp_postup_FGA,opp_postup_FG%,%opp_spotup_FGA,opp_spotup_FG%,%opp_handoff_FGA,opp_handoff_FG%,%opp_offscrn_FGA,opp_offscrn_FG%
Precious Achiuwa,80.0,F,TOR,71,1686,3330,18.4,13.3,16.6,28.4,10.9,25.4,15.8,17.4,0.47718,0.41592,0.03694,0.02853,0.02432,0.19429,46.91,36.49,58.59,11.6,0.4,0.24786,0.10085,0.03761,0.10256,0.11111,0.14017,0.22564,0.01368,40.0,3.7,27.86,15.04,60.17,37.95,0.16581,0.07179,0.0,0.14017,0.04444,0.26667,0.02051,0.12308,0.0,0.12821,0.05465,15.4,2.09,1.14,0.02462,0.01021,0.09009,0.378,0.676,0.713,0.01973,0.01748,0.27639,40.7,5.4,0.05872,0.02135,0.02313,0.04152,0.02788,0.00237,0.22539,0.10261,0.30961,0.40866,0.4395,51.72,0.29043,63.89,0.18965,39.68,0.11645,41.23,33.92,0.13347,35.2,0.2666,33.46,0.02417,39.44,0.01021,46.67,0.0109,40.62,0.00987,41.38,0.05414,37.11,0.0,,0.0034,40.0
Steven Adams,83.0,C,MEM,74,1953,4054,9.8,0.1,21.8,35.6,24.0,16.7,24.6,10.9,0.54761,0.35792,0.0999,0.06463,0.02763,0.12876,54.62,0.0,54.82,20.7,0.75,0.22368,0.02368,0.02895,0.01053,0.0,0.0,0.0,0.00263,50.7,0.0,28.95,5.26,71.58,27.63,0.05263,0.01842,0.0,0.14737,0.11842,0.03421,0.0,0.21316,0.0,0.39737,0.01061,23.3,1.86,0.44,0.09941,0.0259,0.14307,0.196,0.581,0.655,0.01771,0.01576,0.37942,53.8,4.3,0.14644,0.03328,0.03021,0.06093,0.03175,0.00102,0.26933,0.07424,0.27599,0.41219,0.39119,51.79,0.29224,63.41,0.18726,41.42,0.13989,41.39,36.46,0.06482,37.18,0.31551,36.35,0.00942,38.24,0.0,,0.02078,41.33,0.00776,57.14,0.04404,33.96,0.00305,27.27,0.0036,53.85
Bam Adebayo,81.0,F-C,MIA,55,1792,3630,23.1,0.5,40.0,34.4,19.3,28.2,37.0,25.5,0.68127,0.65923,0.05647,0.0595,0.0405,0.2876,56.14,0.0,75.15,23.8,0.45035,0.37762,0.16364,0.08671,0.18601,0.0,0.00559,0.0028,0.00559,39.2,0.0,37.2,19.16,53.01,46.99,0.14406,0.08671,0.02378,0.18042,0.16783,0.05734,0.0,0.21818,0.0,0.07832,0.05455,22.7,2.65,1.45,0.07879,0.05565,0.11736,0.538,0.52,0.92,0.01923,0.01653,0.31138,38.4,5.8,0.101,0.04353,0.02455,0.07478,0.02846,0.00167,0.14955,0.08873,0.30413,0.44978,0.44699,53.87,0.26213,66.96,0.16965,44.34,0.11495,37.68,32.81,0.12504,35.16,0.32758,32.11,0.02703,33.73,0.00977,53.33,0.00619,36.84,0.01009,48.39,0.04461,40.88,0.00261,50.0,0.00423,23.08
LaMarcus Aldridge,83.0,F-C,BKN,47,1050,2213,23.8,7.4,21.4,26.4,7.6,10.6,20.9,24.7,0.48712,0.46453,0.05242,0.02395,0.01988,0.27429,57.77,30.43,87.25,14.7,0.22926,0.22052,0.44978,0.34279,0.20524,0.03057,0.06987,0.09825,0.00218,25.2,0.0,23.8,9.61,72.93,27.29,0.04367,0.0,0.0,0.37991,0.16812,0.18777,0.0,0.1048,0.0,0.09825,0.00723,18.8,1.7,0.57,0.08089,0.05603,0.0845,0.642,0.645,1.043,0.01758,0.01582,0.24571,42.6,5.6,0.09429,0.01333,0.04476,0.0381,0.01429,0.0,0.28476,0.09048,0.23714,0.40571,0.45143,52.81,0.2996,64.73,0.167,40.0,0.14606,43.0,32.56,0.09272,33.87,0.29212,32.42,0.0334,40.3,0.0,,0.01296,30.77,0.01196,41.67,0.04038,40.74,0.0,,0.0,
Nickeil Alexander-Walker,77.0,G,UTA,64,1460,3004,25.5,31.5,16.4,13.9,20.6,29.9,16.2,21.3,0.59953,0.67377,0.00366,0.06292,0.03096,0.22936,43.27,31.04,74.31,11.7,0.27622,0.12703,0.10635,0.01034,0.12851,0.12408,0.36337,0.36928,0.11965,60.1,11.5,22.9,32.05,48.3,50.22,0.15066,0.0325,0.24963,0.0,0.0,0.31019,0.09601,0.02363,0.07238,0.02216,0.15446,39.7,3.24,2.53,0.01032,0.0,0.01897,0.774,0.0,0.719,0.02127,0.01681,0.12808,24.6,6.9,0.01712,0.03151,0.01575,0.07397,0.02123,0.00137,0.08151,0.05616,0.28836,0.40274,0.43836,52.89,0.27684,67.31,0.18328,41.0,0.13113,38.89,37.68,0.10046,43.51,0.30713,35.96,0.00882,39.13,0.05061,46.21,0.00422,45.45,0.00422,72.73,0.05138,43.28,0.01265,27.27,0.0115,26.67
Grayson Allen,76.0,G,MIL,66,1805,3842,16.8,26.3,9.3,12.7,10.8,14.0,8.9,17.0,0.28917,0.33056,0.00442,0.03358,0.01119,0.19079,53.33,40.87,86.49,8.7,0.17575,0.10193,0.04042,0.00176,0.06503,0.18102,0.50088,0.53954,0.14236,35.4,8.8,22.67,16.17,69.6,30.4,0.19508,0.0,0.08787,0.03339,0.0,0.40422,0.11248,0.02812,0.10018,0.01406,0.07522,48.1,2.04,1.31,0.00469,0.0,0.01692,0.444,0.0,0.677,0.01968,0.01718,0.12299,15.8,8.7,0.01773,0.02548,0.00997,0.05319,0.02438,0.00166,0.08199,0.11579,0.27091,0.40609,0.36731,53.41,0.24831,64.14,0.16662,44.27,0.13312,44.81,34.81,0.09609,34.56,0.35527,34.9,0.00646,54.55,0.02527,43.02,0.00764,50.0,0.005,52.94,0.06847,38.63,0.01822,43.55,0.01469,42.0
Jarrett Allen,82.0,C,CLE,56,1810,3674,17.1,0.9,30.3,35.2,9.5,20.1,31.8,22.4,0.54409,0.39657,0.0528,0.03484,0.02559,0.24605,68.79,10.0,70.82,18.3,0.68807,0.23853,0.05505,0.05321,0.00917,0.01101,0.00734,0.01468,0.00367,26.6,100.0,30.28,1.1,72.84,26.79,0.07523,0.02752,0.0,0.19633,0.13211,0.04404,0.0,0.34128,0.0,0.16514,0.01688,27.4,1.67,0.33,0.08873,0.03702,0.18372,0.479,0.684,0.972,0.0187,0.01568,0.3326,47.2,4.9,0.07459,0.02431,0.04144,0.04254,0.02818,0.0,0.28122,0.08343,0.28453,0.40773,0.35912,49.93,0.33553,57.59,0.15998,42.13,0.13062,40.14,34.88,0.10575,37.39,0.26723,33.74,0.02157,43.06,0.00539,55.56,0.01408,36.17,0.01528,47.06,0.04104,37.23,0.0,,0.00389,23.08
Kyle Anderson,81.0,G-F,MEM,66,1416,3053,16.2,11.0,14.3,25.2,22.5,14.5,13.5,14.5,0.52768,0.42254,0.01343,0.06518,0.02227,0.15952,47.38,32.35,62.63,12.8,0.33632,0.33632,0.09865,0.02691,0.17713,0.10538,0.12332,0.19058,0.02691,49.7,3.0,28.03,29.37,44.62,55.38,0.20628,0.05381,0.10987,0.02242,0.0,0.3296,0.03139,0.07848,0.02691,0.1009,0.07992,30.7,2.56,1.5,0.02489,0.00262,0.04225,0.697,0.25,0.736,0.01834,0.01602,0.25,35.6,6.2,0.0339,0.05155,0.03037,0.09463,0.02401,0.00071,0.1363,0.09393,0.33475,0.39901,0.47387,54.31,0.32267,65.47,0.16654,43.29,0.13724,41.29,34.74,0.06592,40.35,0.30378,33.88,0.00964,40.0,0.03315,50.0,0.00848,31.82,0.00617,75.0,0.0559,47.59,0.01118,37.93,0.00308,62.5
Giannis Antetokounmpo,83.0,F,MIL,65,2138,4599,30.8,13.8,62.8,35.5,33.0,34.2,57.8,36.4,0.621,0.70015,0.03131,0.09437,0.04653,0.42248,61.56,29.79,72.01,27.5,0.4702,0.17964,0.1697,0.00745,0.21358,0.00497,0.19123,0.0447,0.14321,56.9,57.1,32.7,43.21,27.73,72.19,0.24752,0.19205,0.07119,0.07699,0.12666,0.09851,0.01242,0.0803,0.0,0.05712,0.1646,33.3,3.68,2.55,0.05719,0.06523,0.09567,0.608,0.563,0.939,0.01794,0.01492,0.35267,32.4,5.0,0.0463,0.03181,0.0421,0.05192,0.029,0.00047,0.17774,0.1043,0.2638,0.46492,0.41768,52.36,0.24043,63.21,0.1699,44.08,0.14009,43.94,35.63,0.09598,38.13,0.35216,35.03,0.0126,44.23,0.00848,51.43,0.0143,50.85,0.00606,56.0,0.05187,43.46,0.00533,13.64,0.00436,33.33
Carmelo Anthony,79.0,F,LAL,69,1793,3862,22.2,30.8,17.3,17.9,7.8,11.6,16.0,21.9,0.37701,0.41455,0.01295,0.02227,0.01528,0.23796,52.15,37.53,83.02,14.4,0.11895,0.0816,0.25035,0.04564,0.2462,0.10373,0.44537,0.4758,0.06501,51.8,8.1,25.73,11.89,65.84,34.16,0.17842,0.07607,0.03043,0.05533,0.15353,0.34716,0.02213,0.02766,0.04979,0.04288,0.01191,17.4,1.89,0.68,0.01295,0.04557,0.02926,0.36,0.699,1.062,0.01618,0.01502,0.16062,34.7,6.2,0.06023,0.02621,0.029,0.04406,0.01227,0.0,0.10708,0.09147,0.26436,0.41495,0.52538,54.45,0.33048,67.08,0.1608,40.07,0.11351,38.02,33.68,0.08602,36.77,0.30624,33.11,0.0136,32.61,0.00739,36.0,0.00443,66.67,0.00916,45.16,0.04877,35.15,0.00473,37.5,0.00384,46.15
