Lineups,TEAM,MIN,GP,OffRtg,DefRtg,NetRtg
"Josh Green, Will Barton, Aaron Gordon, Nikola Jokic, Monte Morris",DEN,743,40,121.3,112.5,8.8
"Chris Paul, Jae Crowder, Devin Booker, Mikal Bridges, Deandre Ayton",PHX,730,37,115.9,109.0,6.9
"Mike Conley, Bogdan Bogdanovic, Rudy Gobert, Royce O'Neale, Donovan Mitchell",UTA,648,41,117.9,109.9,8.0
"Al Horford, Marcus Smart, Jaylen Brown, Jayson Tatum, Robert Williams III",BOS,443,34,118.8,94.2,24.6
"Patrick Beverley, D'Angelo Russell, Karl-Anthony Towns, Jarred Vanderbilt, Anthony Edwards",MIN,439,36,120.2,107.4,12.8
"Alec Burks, Evan Fournier, Julius Randle, Mitchell Robinson, RJ Barrett",NYK,434,33,113.7,113.7,0.0
"Kemba Walker, Evan Fournier, Julius Randle, Mitchell Robinson, RJ Barrett",NYK,428,24,102.8,116.6,-13.8
"Mo Bamba, Wendell Carter Jr., Cole Anthony, Franz Wagner, Jalen Suggs",ORL,424,34,102.0,103.2,-1.1
"Kyle Lowry, P.J. Tucker, Jimmy Butler, Bam Adebayo, Duncan Robinson",MIA,423,30,111.2,98.7,12.5
"Gordon Hayward, Mason Plumlee, Terry Rozier, Miles Bridges, LaMelo Ball",CHA,373,31,105.5,107.8,-2.3
"Eric Gordon, Christian Wood, Kevin Porter Jr., Josh Green, Jae'Sean Tate",HOU,352,27,110.4,110.2,0.2
"Stephen Curry, Draymond Green, Andrew Wiggins, Kevon Looney, Jordan Poole",GSW,347,29,112.2,104.0,8.2
"Jonas Valanciunas, Brandon Ingram, Josh Hart, Devonte' Graham, Herbert Jones",NOP,345,22,113.9,101.1,12.8
"Pascal Siakam, Fred VanVleet, OG Anunoby, Gary Trent Jr., Scottie Barnes",TOR,345,21,107.4,106.8,0.5
"Jrue Holiday, Khris Middleton, Giannis Antetokounmpo, Bobby Portis, Grayson Allen",MIL,337,36,115.6,108.7,6.9
"Reggie Bullock, Dwight Powell, Dorian Finney-Smith, Jalen Brunson, Luka Doncic",DAL,333,38,124.6,113.8,10.8
"James Harden, Tobias Harris, Joel Embiid, Matisse Thybulle, Tyrese Maxey",PHI,323,19,122.5,102.1,20.4
"Bradley Beal, Kentavious Caldwell-Pope, Spencer Dinwiddie, Kyle Kuzma, Daniel Gafford",WAS,319,26,101.1,106.5,-5.4
"Doug McDermott, Dejounte Murray, Jakob Poeltl, Derrick White, Keon Johnson",SAS,308,25,112.9,107.5,5.4
"Mason Plumlee, Terry Rozier, Miles Bridges, P.J. Washington, LaMelo Ball",CHA,306,28,119.7,110.5,9.2
"Damian Lillard, CJ McCollum, Robert Covington, Jusuf Nurkic, Norman Powell",POR,274,17,112.1,111.2,0.8
"Cory Joseph, Jerami Grant, Saddiq Bey, Isaiah Stewart, Cade Cunningham",DET,273,19,114.0,109.3,4.7
"Jerami Grant, Killian Hayes, Saddiq Bey, Isaiah Stewart, Cade Cunningham",DET,256,21,95.7,113.2,-17.6
"Tobias Harris, Seth Curry, Joel Embiid, Matisse Thybulle, Tyrese Maxey",PHI,256,21,105.1,115.7,-10.6
"Shai Gilgeous-Alexander, Darius Bazley, Luguentz Dort, Jeremiah Robinson-Earl, Josh Giddey",OKC,254,25,94.3,112.4,-18.2
"DeMar DeRozan, Nikola Vucevic, Zach LaVine, Josh Green, Ayo Dosunmu",CHI,252,23,114.9,119.7,-4.8
"Danny Green, Tobias Harris, Seth Curry, Joel Embiid, Tyrese Maxey",PHI,250,17,111.2,103.0,8.2
"Clint Capela, Bojan Bogdanovic, John Collins, Trae Young, De'Andre Hunter",ATL,246,16,118.0,111.4,6.7
"Rudy Gay, Mike Conley, Rudy Gobert, Jordan Clarkson, Joe Ingles",UTA,226,25,114.2,97.3,16.9
"Lauri Markkanen, Jarrett Allen, Darius Garland, Isaac Okoro, Evan Mobley",CLE,225,19,115.3,103.7,11.6
"Nicolas Batum, Monte Morris Sr., Reggie Jackson, Ivica Zubac, Amir Coffey",LAC,221,18,106.4,119.9,-13.5
"Hassan Whiteside, Bogdan Bogdanovic, Jordan Clarkson, Royce O'Neale, Donovan Mitchell",UTA,214,44,116.0,105.6,10.3
"Steven Adams, Josh Jackson Jr., Ja Morant, Desmond Bane, Ziaire Williams",MEM,208,22,119.3,115.1,4.2
"Danilo Gallinari, Clint Capela, Kevin Huerter, Trae Young, De'Andre Hunter",ATL,202,21,118.8,114.0,4.8
"Khem Birch, Pascal Siakam, Fred VanVleet, Gary Trent Jr., Scottie Barnes",TOR,188,18,109.9,115.6,-5.7
"Nicolas Batum, Monte Morris Sr., Reggie Jackson, Ivica Zubac, Tre Mann",LAC,181,19,114.4,104.0,10.4
"Clint Capela, John Collins, Kevin Huerter, Trae Young, De'Andre Hunter",ATL,178,15,114.7,112.4,2.2
"Christian Wood, Daniel Theis, Kevin Porter Jr., Josh Green, Jae'Sean Tate",HOU,172,13,82.4,108.5,-26.1
"Kevin Durant, Blake Griffin, James Harden, Joe Harris, Bruce Brown",BKN,171,11,103.0,97.8,5.1
"Steven Adams, Josh Jackson Jr., De'Anthony Melton, Ja Morant, Desmond Bane",MEM,170,23,115.6,109.1,6.5
