,Lineups,TEAM,MIN,GP,OffRtg,DefRtg,NetRtg,g_cls_1,g_cls_2,g_cls_3,g_cls_4,w_cls_1,w_cls_2,w_cls_3,w_cls_4,f_cls_1,f_cls_2,f_cls_3,f_cls_4,b_cls_1,b_cls_2,b_cls_3,plus_rtg
0,"Al Horford, Marcus Smart, Jaylen Brown, Jayson Tatum, Robert Williams III",BOS,443,34,118.8,94.2,24.6,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,1
1,"Patrick Beverley, D'Angelo Russell, Karl-Anthony Towns, Jarred Vanderbilt, Anthony Edwards",MIN,439,36,120.2,107.4,12.8,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1
2,"Alec Burks, Evan Fournier, Julius Randle, Mitchell Robinson, RJ Barrett",NYK,434,33,113.7,113.7,0.0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1
3,"Kyle Lowry, P.J. Tucker, Jimmy Butler, Bam Adebayo, Duncan Robinson",MIA,423,30,111.2,98.7,12.5,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1
4,"Stephen Curry, Draymond Green, Andrew Wiggins, Kevon Looney, Jordan Poole",GSW,347,29,112.2,104.0,8.2,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,1
5,"Pascal Siakam, Fred VanVleet, OG Anunoby, Gary Trent Jr., Scottie Barnes",TOR,345,21,107.4,106.8,0.5,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,1
6,"Jrue Holiday, Khris Middleton, Giannis Antetokounmpo, Bobby Portis, Grayson Allen",MIL,337,36,115.6,108.7,6.9,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,1
7,"Reggie Bullock, Dwight Powell, Dorian Finney-Smith, Jalen Brunson, Luka Doncic",DAL,333,38,124.6,113.8,10.8,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1
8,"James Harden, Tobias Harris, Joel Embiid, Matisse Thybulle, Tyrese Maxey",PHI,323,19,122.5,102.1,20.4,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1
9,"Bradley Beal, Kentavious Caldwell-Pope, Spencer Dinwiddie, Kyle Kuzma, Daniel Gafford",WAS,319,26,101.1,106.5,-5.4,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0
10,"Mason Plumlee, Terry Rozier, Miles Bridges, P.J. Washington, LaMelo Ball",CHA,306,28,119.7,110.5,9.2,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1
11,"Cory Joseph, Jerami Grant, Saddiq Bey, Isaiah Stewart, Cade Cunningham",DET,273,19,114.0,109.3,4.7,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1
12,"Jerami Grant, Killian Hayes, Saddiq Bey, Isaiah Stewart, Cade Cunningham",DET,256,21,95.7,113.2,-17.6,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0
13,"Tobias Harris, Seth Curry, Joel Embiid, Matisse Thybulle, Tyrese Maxey",PHI,256,21,105.1,115.7,-10.6,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
14,"Shai Gilgeous-Alexander, Darius Bazley, Luguentz Dort, Jeremiah Robinson-Earl, Josh Giddey",OKC,254,25,94.3,112.4,-18.2,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
15,"Danny Green, Tobias Harris, Seth Curry, Joel Embiid, Tyrese Maxey",PHI,250,17,111.2,103.0,8.2,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1
16,"P.J. Tucker, Jimmy Butler, Bam Adebayo, Duncan Robinson, Gabe Vincent",MIA,163,20,110.8,102.8,8.0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1
17,"Fred VanVleet, OG Anunoby, Gary Trent Jr., Precious Achiuwa, Scottie Barnes",TOR,158,17,109.0,100.6,8.4,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,1
18,"Hamidou Diallo, Killian Hayes, Saddiq Bey, Isaiah Stewart, Cade Cunningham",DET,156,14,101.8,113.0,-11.2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
19,"Pascal Siakam, Fred VanVleet, Gary Trent Jr., Precious Achiuwa, Scottie Barnes",TOR,152,15,114.7,101.3,13.4,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,1
20,"Myles Turner, Domantas Sabonis, Caris LeVert, Malcolm Brogdon, Chris Duarte",IND,148,11,122.6,108.0,14.6,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1
21,"Dwight Powell, Dorian Finney-Smith, Maxi Kleber, Jalen Brunson, Luka Doncic",DAL,142,20,105.3,117.7,-12.4,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
22,"Mason Plumlee, Terry Rozier, Miles Bridges, Cody Martin, LaMelo Ball",CHA,136,27,123.4,109.3,14.1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1
23,"Shai Gilgeous-Alexander, Luguentz Dort, Jeremiah Robinson-Earl, Josh Giddey, Aaron Wiggins",OKC,126,12,112.3,121.5,-9.2,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
24,"Bradley Beal, Kentavious Caldwell-Pope, Spencer Dinwiddie, Montrezl Harrell, Kyle Kuzma",WAS,121,20,103.0,109.4,-6.4,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0
25,"Cory Joseph, Hamidou Diallo, Saddiq Bey, Isaiah Stewart, Cade Cunningham",DET,121,11,96.4,120.5,-24.1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
26,"P.J. Tucker, Jimmy Butler, Bam Adebayo, Duncan Robinson, Tyler Herro",MIA,114,28,107.4,100.4,7.0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1
27,"Marcus Smart, Jaylen Brown, Jayson Tatum, Robert Williams III, Grant Williams",BOS,109,22,126.8,95.8,31.0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,1
28,"Pascal Siakam, Fred VanVleet, Chris Boucher, Gary Trent Jr., Scottie Barnes",TOR,104,11,122.9,99.5,23.3,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1
29,"Al Horford, Dennis Schroder, Marcus Smart, Jayson Tatum, Robert Williams III",BOS,103,12,94.2,111.3,-17.0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0
30,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Jarred Vanderbilt, Anthony Edwards",MIN,103,18,135.2,121.0,14.2,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,1
31,"Tim Hardaway Jr., Dwight Powell, Kristaps Porzingis, Dorian Finney-Smith, Luka Doncic",DAL,103,11,95.8,113.0,-17.1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0
32,"Reggie Bullock, Dorian Finney-Smith, Maxi Kleber, Jalen Brunson, Luka Doncic",DAL,101,19,105.8,103.4,2.4,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
33,"Mason Plumlee, Kelly Oubre Jr., Terry Rozier, Miles Bridges, LaMelo Ball",CHA,97,18,105.6,113.8,-8.2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
34,"Tim Hardaway Jr., Dwight Powell, Dorian Finney-Smith, Jalen Brunson, Luka Doncic",DAL,95,19,119.6,107.3,12.3,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1
35,"Terry Rozier, Miles Bridges, Cody Martin, P.J. Washington, LaMelo Ball",CHA,92,19,116.8,116.3,0.5,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1
36,"Justin Holiday, Myles Turner, Domantas Sabonis, Caris LeVert, Malcolm Brogdon",IND,91,10,114.0,103.7,10.3,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,1
37,"Cory Joseph, Jerami Grant, Marvin Bagley III, Saddiq Bey, Cade Cunningham",DET,90,7,94.5,104.9,-10.4,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0
38,"Kristaps Porzingis, Dorian Finney-Smith, Maxi Kleber, Jalen Brunson, Luka Doncic",DAL,90,9,111.8,106.1,5.8,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1
39,"Al Horford, Dennis Schroder, Marcus Smart, Jayson Tatum, Grant Williams",BOS,88,13,121.4,103.8,17.5,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1
40,"Stephen Curry, Otto Porter Jr., Andrew Wiggins, Kevon Looney, Jordan Poole",GSW,86,11,123.4,100.0,23.4,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,1
41,"Cory Joseph, Jerami Grant, Hamidou Diallo, Saddiq Bey, Isaiah Stewart",DET,85,8,102.4,107.6,-5.2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
42,"Tobias Harris, Joel Embiid, Furkan Korkmaz, Matisse Thybulle, Tyrese Maxey",PHI,85,10,108.3,104.2,4.1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
43,"Harrison Barnes, Justin Holiday, Trey Lyles, Domantas Sabonis, De'Aaron Fox",SAC,84,8,117.9,120.2,-2.3,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
44,"Justin Holiday, Myles Turner, Domantas Sabonis, Malcolm Brogdon, Chris Duarte",IND,80,10,90.8,100.0,-9.2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
45,"Gary Harris, Wendell Carter Jr., Chuma Okeke, Cole Anthony, Franz Wagner",ORL,79,23,105.1,107.3,-2.1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0
46,"Chris Paul, Devin Booker, Mikal Bridges, Cameron Johnson, Jalen Smith",PHX,76,8,119.5,109.9,9.6,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,1
47,"Patrick Beverley, Karl-Anthony Towns, Malik Beasley, Jarred Vanderbilt, Anthony Edwards",MIN,76,25,107.0,121.3,-14.3,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
48,"Bradley Beal, Kentavious Caldwell-Pope, Raul Neto, Kyle Kuzma, Daniel Gafford",WAS,74,20,105.8,113.2,-7.4,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0
49,"Eric Gordon, Christian Wood, Kevin Porter Jr., Garrison Mathews, Jae'Sean Tate",HOU,74,7,122.5,100.6,21.9,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,1
50,"Kentavious Caldwell-Pope, Raul Neto, Kyle Kuzma, Daniel Gafford, Corey Kispert",WAS,74,12,120.5,129.5,-9.0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0
51,"Kentavious Caldwell-Pope, Raul Neto, Kristaps Porzingis, Kyle Kuzma, Corey Kispert",WAS,73,6,110.6,108.7,1.9,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1
52,"Kelly Oubre Jr., Terry Rozier, Miles Bridges, P.J. Washington, LaMelo Ball",CHA,72,19,111.5,103.6,7.9,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
53,"Trey Lyles, Hamidou Diallo, Killian Hayes, Saddiq Bey, Cade Cunningham",DET,72,11,107.1,119.1,-12.0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
54,"Harrison Barnes, Richaun Holmes, De'Aaron Fox, Chimezie Metu, Tyrese Haliburton",SAC,69,7,98.6,105.5,-6.9,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0
