Lineups,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,PACE,PIE
".J. Green, .W. Barton, .A. Gordon, .N. Jokic, .M. Morris",DEN,40,743,121.3,112.5,8.8,71.3,2.51,23.2,25.0,75.5,51.9,0.1,59.8,62.9,100.36,55.5
".C. Paul, .J. Crowder, .D. Booker, .M. Bridges, .D. Ayton",PHX,37,730,115.9,109.0,6.9,64.0,2.74,20.8,21.3,73.3,48.8,0.1,56.7,59.8,100.07,54.4
".M. Conley, .B. Bogdanovic, .R. Gobert, .R. O'Neale, .D. Mitchell",UTA,41,648,117.9,109.9,8.0,57.5,1.72,17.7,27.0,72.3,51.3,0.1,59.6,62.6,100.29,55.0
".A. Horford, .M. Smart, .J. Brown, .J. Tatum, .R. Williams III",BOS,34,443,118.8,94.2,24.6,63.3,2.18,20.7,26.4,76.4,54.2,0.1,59.7,61.6,99.08,64.0
".P. Beverley, .D. Russell, .K. Towns, .J. Vanderbilt, .A. Edwards",MIN,36,439,120.2,107.4,12.8,58.6,1.93,18.5,33.3,70.6,51.9,0.1,56.9,59.4,99.52,53.8
".A. Burks, .E. Fournier, .J. Randle, .M. Robinson, .R. Barrett",NYK,33,434,113.7,113.7,0.0,55.1,1.65,16.1,32.9,78.1,54.3,0.1,53.3,56.5,98.88,48.3
".K. Walker, .E. Fournier, .J. Randle, .M. Robinson, .R. Barrett",NYK,24,428,102.8,116.6,-13.8,55.0,1.47,15.5,26.0,74.9,49.2,0.1,50.3,52.5,97.2,41.1
".M. Bamba, .W. Carter Jr., .C. Anthony, .F. Wagner, .J. Suggs",ORL,34,424,102.0,103.2,-1.1,58.6,1.42,16.7,28.0,75.0,53.0,0.2,50.5,53.5,100.55,51.3
".K. Lowry, .P. Tucker, .J. Butler, .B. Adebayo, .D. Robinson",MIA,30,423,111.2,98.7,12.5,66.1,2.11,19.6,24.2,77.0,51.5,0.1,53.7,57.3,95.21,57.8
".G. Hayward, .M. Plumlee, .T. Rozier, .M. Bridges, .L. Ball",CHA,31,373,105.5,107.8,-2.3,66.8,2.27,19.8,23.0,75.5,47.9,0.1,52.8,54.3,104.16,48.2
".E. Gordon, .C. Wood, .K. Porter Jr., .J. Green, .J. Tate",HOU,27,352,110.4,110.2,0.2,58.9,1.73,17.4,24.6,72.9,49.0,0.1,54.9,57.5,101.8,49.2
".S. Curry, .D. Green, .A. Wiggins, .K. Looney, .J. Poole",GSW,29,347,112.2,104.0,8.2,72.9,1.73,21.3,28.3,76.9,53.8,0.2,57.5,59.6,102.97,54.5
".J. Valanciunas, .B. Ingram, .J. Hart, .D. Graham, .H. Jones",NOP,22,345,113.9,101.1,12.8,64.4,2.13,19.5,25.7,81.0,53.5,0.1,53.8,57.7,98.07,55.5
".P. Siakam, .F. VanVleet, .O. Anunoby, .G. Trent Jr., .S. Barnes",TOR,21,345,107.4,106.8,0.5,57.6,1.79,17.0,22.6,69.3,45.5,0.1,53.0,56.4,99.74,48.8
".J. Holiday, .K. Middleton, .G. Antetokounmpo, .B. Portis, .G. Allen",MIL,36,337,115.6,108.7,6.9,64.8,2.53,20.3,23.4,82.4,53.9,0.1,57.9,60.7,104.39,55.9
".R. Bullock, .D. Powell, .D. Finney-Smith, .J. Brunson, .L. Doncic",DAL,38,333,124.6,113.8,10.8,56.5,2.18,18.7,23.7,72.9,49.7,0.1,61.9,64.8,94.22,54.8
".J. Harden, .T. Harris, .J. Embiid, .M. Thybulle, .T. Maxey",PHI,19,323,122.5,102.1,20.4,64.5,2.6,20.4,21.3,72.5,48.2,0.1,58.3,63.0,99.9,59.4
".B. Beal, .K. Caldwell-Pope, .S. Dinwiddie, .K. Kuzma, .D. Gafford",WAS,26,319,101.1,106.5,-5.4,59.9,1.64,17.1,26.3,71.9,49.9,0.1,49.1,52.5,99.43,48.6
".D. McDermott, .D. Murray, .J. Poeltl, .D. White, .K. Johnson",SAS,25,308,112.9,107.5,5.4,71.5,3.35,21.6,26.8,72.8,48.5,0.1,52.4,54.7,103.26,52.7
".M. Plumlee, .T. Rozier, .M. Bridges, .P. Washington, .L. Ball",CHA,28,306,119.7,110.5,9.2,73.5,2.46,23.1,22.5,73.1,49.3,0.1,61.5,63.4,101.81,54.8
".D. Lillard, .C. McCollum, .R. Covington, .J. Nurkic, .N. Powell",POR,17,274,112.1,111.2,0.8,63.5,2.32,19.2,25.5,80.1,52.0,0.1,54.9,57.1,102.93,50.9
".C. Joseph, .J. Grant, .S. Bey, .I. Stewart, .C. Cunningham",DET,19,273,114.0,109.3,4.7,57.4,1.81,17.4,31.8,70.9,51.1,0.1,53.2,57.1,98.47,51.7
".J. Grant, .K. Hayes, .S. Bey, .I. Stewart, .C. Cunningham",DET,21,256,95.7,113.2,-17.6,61.5,1.31,15.8,31.8,72.2,50.0,0.2,45.3,48.6,100.0,37.2
".T. Harris, .S. Curry, .J. Embiid, .M. Thybulle, .T. Maxey",PHI,21,256,105.1,115.7,-10.6,63.1,2.07,17.6,17.0,73.3,45.4,0.1,50.0,55.1,95.54,45.6
".S. Gilgeous-Alexander, .D. Bazley, .L. Dort, .J. Robinson-Earl, .J. Giddey",OKC,25,254,94.3,112.4,-18.2,55.9,1.63,15.4,19.4,72.5,45.3,0.1,46.4,49.5,102.02,41.6
